Sample,Job_Load_us,Cycle_Period_us,Wakeup_Jitter_us
97,900.102,999.925,-0.075
98,900.179,1000.171,0.171
99,900.146,1000.098,0.098
100,900.172,1000.453,0.453
101,900.078,999.427,-0.573
102,900.106,1000.066,0.066
103,900.095,999.910,-0.090
104,900.104,999.945,-0.055
105,900.106,999.891,-0.109
106,900.075,1000.224,0.224
107,900.118,999.928,-0.072
108,900.109,999.894,-0.106
109,900.175,999.946,-0.054
110,900.165,1000.152,0.152
111,900.091,1000.035,0.035
112,900.082,999.945,-0.055
113,900.103,999.942,-0.058
114,900.174,1000.086,0.086
115,900.106,1000.013,0.013
116,900.102,999.931,-0.069
117,900.158,999.903,-0.097
118,900.101,1000.223,0.223
119,900.084,999.950,-0.050
120,900.092,999.983,-0.017
121,900.092,999.947,-0.053
122,900.174,1000.199,0.199
123,900.101,999.848,-0.152
124,900.107,999.923,-0.077
125,900.176,999.898,-0.102
126,900.116,1000.226,0.226
127,900.080,999.988,-0.012
128,900.111,999.984,-0.016
129,900.171,999.872,-0.128
130,900.174,1000.102,0.102
131,900.118,1000.040,0.040
132,900.115,999.931,-0.069
133,900.098,999.831,-0.169
134,900.148,1000.223,0.223
135,900.167,1000.000,0.000
136,900.079,999.990,-0.010
137,900.165,999.842,-0.158
138,900.161,1000.186,0.186
139,900.120,1000.014,0.014
140,900.112,999.847,-0.153
141,900.092,1000.017,0.017
142,900.191,1000.091,0.091
143,900.079,1000.030,0.030
144,900.086,1000.005,0.005
145,900.176,999.839,-0.161
146,900.155,1000.112,0.112
147,900.079,999.994,-0.006
148,900.115,999.917,-0.083
149,900.095,1000.018,0.018
150,900.077,1000.042,0.042
151,900.083,1000.002,0.002
152,900.089,999.989,-0.011
153,900.083,999.898,-0.102
154,900.144,1000.175,0.175
155,900.093,1000.004,0.004
156,900.169,999.879,-0.121
157,900.080,999.942,-0.058
158,900.125,1000.183,0.183
159,900.117,1000.022,0.022
160,900.079,1000.000,0.000
161,900.074,999.850,-0.150
162,900.151,1000.122,0.122
163,900.082,1000.017,0.017
164,900.174,999.811,-0.189
165,900.104,1000.050,0.050
166,900.083,1000.144,0.144
167,900.107,999.995,-0.005
168,900.078,999.876,-0.124
169,900.163,999.919,-0.081
170,900.123,1000.156,0.156
171,900.079,999.993,-0.007
172,900.110,999.934,-0.066
173,900.170,999.968,-0.032
174,900.132,1000.134,0.134
175,900.098,999.942,-0.058
176,900.081,1000.001,0.001
177,900.173,999.874,-0.126
178,900.165,1000.130,0.130
179,900.084,1000.037,0.037
180,900.077,999.986,-0.014
181,900.107,999.890,-0.110
182,900.165,1000.107,0.107
183,900.107,1000.005,0.005
184,900.173,999.973,-0.027
185,900.077,999.851,-0.149
186,900.077,1000.250,0.250
187,900.095,1000.068,0.068
188,900.176,999.735,-0.265
189,900.174,1000.026,0.026
190,900.159,1000.131,0.131
191,900.118,999.938,-0.062
192,900.102,999.972,-0.028
193,900.173,999.885,-0.115
194,900.108,1000.148,0.148
195,900.092,1000.031,0.031
196,900.099,999.908,-0.092
197,900.104,999.933,-0.067
198,900.094,1000.176,0.176
199,900.107,1000.028,0.028
200,900.097,999.932,-0.068
201,900.172,999.880,-0.120
202,900.145,1000.138,0.138
203,900.092,999.977,-0.023
204,900.082,999.901,-0.099
205,900.172,1000.001,0.001
206,900.155,1000.112,0.112
207,900.096,999.980,-0.020
208,900.090,1000.000,0.000
209,900.171,999.893,-0.107
210,900.135,1000.172,0.172
211,900.083,1000.015,0.015
212,900.102,999.867,-0.133
213,900.092,999.979,-0.021
214,900.131,1000.125,0.125
215,900.121,999.944,-0.056
216,900.074,999.881,-0.119
217,900.177,999.978,-0.022
218,900.142,1000.245,0.245
219,900.084,999.889,-0.111
220,900.104,1000.024,0.024
221,900.176,999.920,-0.080
222,900.148,1000.103,0.103
223,900.119,999.921,-0.079
224,900.101,999.949,-0.051
225,900.178,999.956,-0.044
226,900.118,1000.182,0.182
227,900.086,999.985,-0.015
228,900.092,999.949,-0.051
229,900.174,1000.032,0.032
230,900.086,1000.087,0.087
231,900.107,999.927,-0.073
232,900.114,999.917,-0.083
233,900.102,999.934,-0.066
234,900.139,1000.147,0.147
235,900.093,1000.041,0.041
236,900.078,999.862,-0.138
237,900.081,999.969,-0.031
238,900.156,1000.156,0.156
239,900.106,999.975,-0.025
240,900.096,999.936,-0.064
241,900.195,999.945,-0.055
242,900.158,1000.203,0.203
243,900.096,999.942,-0.058
244,900.078,999.879,-0.121
245,900.082,999.922,-0.078
246,900.098,1000.214,0.214
247,900.176,1000.009,0.009
248,900.103,999.902,-0.098
249,900.103,999.902,-0.098
250,900.148,1000.212,0.212
251,900.095,1000.031,0.031
252,900.077,999.884,-0.116
253,900.082,999.859,-0.141
254,900.139,1000.202,0.202
255,900.104,999.965,-0.035
256,900.103,999.969,-0.031
257,900.091,1000.041,0.041
258,900.073,1000.100,0.100
259,900.093,999.817,-0.183
260,900.090,1000.005,0.005
261,900.076,999.896,-0.104
262,900.137,1000.192,0.192
263,900.094,999.984,-0.016
264,900.105,999.919,-0.081
265,900.091,999.962,-0.038
266,900.140,1000.143,0.143
267,900.179,999.882,-0.118
268,900.106,999.963,-0.037
269,900.079,999.940,-0.060
270,900.134,1000.203,0.203
271,900.080,999.968,-0.032
272,900.101,999.985,-0.015
273,900.096,999.998,-0.002
274,900.138,1000.113,0.113
275,900.084,999.835,-0.165
276,900.076,999.998,-0.002
277,900.173,999.985,-0.015
278,900.096,1000.173,0.173
279,900.095,999.886,-0.114
280,900.091,1000.023,0.023
281,900.091,999.858,-0.142
282,900.169,1000.185,0.185
283,900.082,999.970,-0.030
284,900.081,999.913,-0.087
285,900.083,999.928,-0.072
286,900.080,1000.173,0.173
287,900.092,999.970,-0.030
288,900.099,999.917,-0.083
289,900.091,999.985,-0.015
290,900.090,1000.163,0.163
291,900.084,999.926,-0.074
292,900.082,999.916,-0.084
293,900.079,999.991,-0.009
294,900.110,1000.217,0.217
295,900.083,1000.026,0.026
296,900.082,999.852,-0.148
297,900.081,999.899,-0.101
298,900.158,1000.163,0.163
299,900.083,999.970,-0.030
300,900.084,999.877,-0.123
301,900.177,999.955,-0.045
302,900.105,1000.219,0.219
303,900.108,999.971,-0.029
304,900.101,999.903,-0.097
305,900.095,999.921,-0.079
306,900.112,1000.135,0.135
307,900.081,1000.004,0.004
308,900.086,999.916,-0.084
309,900.172,999.991,-0.009
310,900.074,1000.117,0.117
311,900.083,999.970,-0.030
312,900.131,999.973,-0.027
313,900.099,999.929,-0.071
314,900.099,1000.109,0.109
315,900.082,1000.019,0.019
316,900.086,999.995,-0.005
317,900.081,999.917,-0.083
318,900.159,1000.096,0.096
319,900.110,999.971,-0.029
320,900.090,999.952,-0.048
321,900.105,999.907,-0.093
322,900.106,1000.139,0.139
323,900.084,1000.031,0.031
324,900.080,999.906,-0.094
325,900.172,999.950,-0.050
326,900.101,1000.171,0.171
327,900.085,999.978,-0.022
328,900.124,999.914,-0.086
329,900.093,999.937,-0.063
330,900.109,1000.119,0.119
331,900.089,1000.063,0.063
332,900.109,999.843,-0.157
333,900.082,1000.030,0.030
334,900.125,1000.111,0.111
335,900.095,999.992,-0.008
336,900.103,999.886,-0.114
337,900.095,1000.004,0.004
338,900.141,1000.149,0.149
339,900.108,999.951,-0.049
340,900.082,999.865,-0.135
341,900.081,999.983,-0.017
342,900.150,1000.146,0.146
343,900.081,999.979,-0.021
344,900.099,999.918,-0.082
345,900.090,999.957,-0.043
346,900.082,1000.123,0.123
347,900.109,999.976,-0.024
348,900.171,999.965,-0.035
349,900.078,999.907,-0.093
350,900.110,1000.151,0.151
351,900.076,1000.033,0.033
352,900.085,999.942,-0.058
353,900.106,999.821,-0.179
354,900.121,1000.209,0.209
355,900.117,999.996,-0.004
356,900.115,999.874,-0.126
357,900.105,999.972,-0.028
358,900.123,1000.212,0.212
359,900.084,999.966,-0.034
360,900.088,999.987,-0.013
361,900.174,999.850,-0.150
362,900.156,1000.132,0.132
363,900.094,1000.047,0.047
364,900.081,999.837,-0.163
365,900.102,1000.018,0.018
366,900.129,1000.166,0.166
367,900.074,999.919,-0.081
368,900.078,999.872,-0.128
369,900.076,999.952,-0.048
370,900.173,1000.273,0.273
371,900.084,999.983,-0.017
372,900.094,999.896,-0.104
373,900.092,999.922,-0.078
374,900.139,1000.166,0.166
375,900.095,999.973,-0.027
376,900.093,999.863,-0.137
377,900.163,999.967,-0.033
378,900.097,1000.166,0.166
379,900.080,1000.033,0.033
380,900.103,999.964,-0.036
381,900.105,999.914,-0.086
382,900.160,1000.195,0.195
383,900.107,999.929,-0.071
384,900.078,999.799,-0.201
385,900.163,1000.021,0.021
386,900.088,1000.123,0.123
387,900.097,1000.008,0.008
388,900.078,999.921,-0.079
389,900.163,1000.006,0.006
390,900.124,1000.137,0.137
391,900.114,999.977,-0.023
392,900.173,999.824,-0.176
393,900.176,999.981,-0.019
394,900.104,1000.209,0.209
395,900.095,999.987,-0.013
396,900.089,999.978,-0.022
397,900.101,999.883,-0.117
398,900.121,1000.155,0.155
399,900.097,999.939,-0.061
400,900.081,999.902,-0.098
401,900.174,999.920,-0.080
402,900.138,1000.275,0.275
403,900.089,999.989,-0.011
404,900.099,999.900,-0.100
405,900.102,999.920,-0.080
406,900.159,1000.153,0.153
407,900.117,999.966,-0.034
408,900.078,999.870,-0.130
409,900.080,999.987,-0.013
410,900.138,1000.162,0.162
411,900.178,999.955,-0.045
412,900.096,999.925,-0.075
413,900.103,999.953,-0.047
414,900.075,1000.131,0.131
415,900.104,1000.030,0.030
416,900.103,999.899,-0.101
417,900.075,999.932,-0.068
418,900.163,1000.167,0.167
419,900.096,1000.025,0.025
420,900.161,999.904,-0.096
421,900.091,999.914,-0.086
422,900.082,1000.124,0.124
423,900.119,1000.056,0.056
424,900.133,999.895,-0.105
425,900.081,1000.000,0.000
426,900.099,1000.110,0.110
427,900.090,999.977,-0.023
428,900.091,999.869,-0.131
429,900.089,999.951,-0.049
430,900.121,1000.203,0.203
431,900.109,1000.013,0.013
432,900.117,999.893,-0.107
433,900.089,999.919,-0.081
434,900.120,1000.163,0.163
435,900.179,999.996,-0.004
436,900.092,999.908,-0.092
437,900.177,999.907,-0.093
438,900.178,1000.147,0.147
439,900.105,1000.015,0.015
440,900.093,999.935,-0.065
441,900.092,999.931,-0.069
442,900.096,1000.120,0.120
443,900.179,999.985,-0.015
444,900.111,999.994,-0.006
445,900.166,1000.005,0.005
446,900.169,1000.134,0.134
447,900.175,999.924,-0.076
448,900.098,999.921,-0.079
449,900.075,999.868,-0.132
450,900.086,1000.238,0.238
451,900.107,999.959,-0.041
452,900.124,999.889,-0.111
453,900.172,999.952,-0.048
454,900.153,1000.119,0.119
455,900.082,999.980,-0.020
456,900.090,999.982,-0.018
457,900.106,999.913,-0.087
458,900.172,1000.199,0.199
459,900.115,999.941,-0.059
460,900.106,999.956,-0.044
461,900.188,1000.353,0.353
462,900.135,999.723,-0.277
463,900.083,999.993,-0.007
464,900.088,999.913,-0.087
465,900.176,999.935,-0.065
466,900.160,1000.197,0.197
467,900.115,1000.115,0.115
468,900.089,999.836,-0.164
469,900.164,999.932,-0.068
470,900.137,1000.119,0.119
471,900.089,999.913,-0.087
472,900.078,999.954,-0.046
473,900.090,999.924,-0.076
474,900.161,1000.190,0.190
475,900.096,999.964,-0.036
476,900.133,999.975,-0.025
477,900.096,999.940,-0.060
478,900.074,1000.120,0.120
479,900.092,999.975,-0.025
480,900.091,999.944,-0.056
481,900.172,999.848,-0.152
482,900.145,1000.172,0.172
483,900.113,1000.043,0.043
484,900.113,999.894,-0.106
485,900.083,1000.001,0.001
486,900.116,1000.096,0.096
487,900.082,999.978,-0.022
488,900.106,1000.022,0.022
489,900.162,999.965,-0.035
490,900.170,999.997,-0.003
491,900.093,1000.025,0.025
492,900.079,999.929,-0.071
493,900.096,999.968,-0.032
494,900.110,1000.112,0.112
495,900.075,999.994,-0.006
496,900.077,999.930,-0.070
497,900.075,999.945,-0.055
498,900.165,1000.140,0.140
499,900.083,999.993,-0.007
500,900.101,999.906,-0.094
501,900.100,1000.007,0.007
502,900.093,1000.094,0.094
503,900.094,999.971,-0.029
504,900.096,1000.012,0.012
505,900.175,999.843,-0.157
506,900.125,1000.254,0.254
507,900.103,999.908,-0.092
508,900.090,999.925,-0.075
509,900.090,999.918,-0.082
510,900.138,1000.219,0.219
511,900.078,1000.011,0.011
512,900.098,999.872,-0.128
513,900.173,999.933,-0.067
514,900.147,1000.133,0.133
515,900.118,1000.034,0.034
516,900.076,999.882,-0.118
517,900.079,999.965,-0.035
518,900.168,1000.153,0.153
519,900.082,999.952,-0.048
520,900.170,1000.001,0.001
521,900.078,999.845,-0.155
522,900.095,1000.174,0.174
523,900.084,999.964,-0.036
524,900.115,999.934,-0.066
525,900.092,999.934,-0.066
526,900.078,1000.202,0.202
527,900.082,999.988,-0.012
528,900.088,999.947,-0.053
529,900.151,999.899,-0.101
530,900.084,1000.078,0.078
531,900.084,1000.099,0.099
532,900.080,999.852,-0.148
533,900.090,1000.031,0.031
534,900.078,1000.105,0.105
535,900.080,999.973,-0.027
536,900.176,999.933,-0.067
537,900.175,999.924,-0.076
538,900.123,1000.128,0.128
539,900.090,999.963,-0.037
540,900.101,999.898,-0.102
541,900.092,1000.007,0.007
542,900.127,1000.112,0.112
543,900.080,1000.033,0.033
544,900.175,999.832,-0.168
545,900.176,999.986,-0.014
546,900.129,1000.153,0.153
547,900.098,1000.005,0.005
548,900.091,999.926,-0.074
549,900.093,999.994,-0.006
550,900.081,1000.118,0.118
551,900.096,999.933,-0.067
552,900.169,999.950,-0.050
553,900.173,999.975,-0.025
554,900.136,1000.163,0.163
555,900.084,999.986,-0.014
556,900.114,999.948,-0.052
557,900.104,999.843,-0.157
558,900.073,1000.215,0.215
559,900.090,999.966,-0.034
560,900.082,999.929,-0.071
561,900.174,999.856,-0.144
562,900.134,1000.167,0.167
563,900.107,1000.166,0.166
564,900.088,999.843,-0.157
565,900.096,999.947,-0.053
566,900.158,1000.103,0.103
567,900.104,999.944,-0.056
568,900.079,999.940,-0.060
569,900.174,999.863,-0.137
570,900.177,1000.239,0.239
571,900.082,1000.011,0.011
572,900.082,999.946,-0.054
573,900.094,999.836,-0.164
574,900.129,1000.213,0.213
575,900.109,1000.082,0.082
576,900.117,999.892,-0.108
577,900.082,999.851,-0.149
578,900.115,1000.112,0.112
579,900.083,1000.015,0.015
580,900.176,1000.034,0.034
581,900.162,999.863,-0.137
582,900.142,1000.106,0.106
583,900.114,1000.012,0.012
584,900.114,999.984,-0.016
585,900.071,999.902,-0.098
586,900.098,1000.156,0.156
587,900.088,999.998,-0.002
588,900.074,999.927,-0.073
589,900.178,999.895,-0.105
590,900.164,1000.119,0.119
591,900.116,1000.047,0.047
592,900.102,999.888,-0.112
593,900.082,1000.014,0.014
594,900.146,1000.116,0.116
595,900.083,999.911,-0.089
596,900.090,1000.043,0.043
597,900.174,999.886,-0.114
598,900.136,1000.147,0.147
599,900.104,999.954,-0.046
600,900.102,999.920,-0.080
601,900.174,1000.019,0.019
602,900.150,1000.151,0.151
603,900.086,999.946,-0.054
604,900.080,999.914,-0.086
605,900.099,999.854,-0.146
606,900.083,1000.198,0.198
607,900.114,1000.042,0.042
608,900.102,999.857,-0.143
609,900.084,999.989,-0.011
610,900.072,1000.162,0.162
611,900.083,999.956,-0.044
612,900.173,999.974,-0.026
613,900.106,999.898,-0.102
614,900.109,1000.123,0.123
615,900.117,1000.027,0.027
616,900.112,999.887,-0.113
617,900.094,999.979,-0.021
618,900.137,1000.146,0.146
619,900.083,1000.004,0.004
620,900.079,999.924,-0.076
621,900.175,999.906,-0.094
622,900.151,1000.150,0.150
623,900.115,1000.019,0.019
624,900.111,999.879,-0.121
625,900.090,999.970,-0.030
626,900.091,1000.104,0.104
627,900.093,1000.022,0.022
628,900.176,999.942,-0.058
629,900.176,999.924,-0.076
630,900.151,1000.169,0.169
631,900.120,999.927,-0.073
632,900.099,999.949,-0.051
633,900.095,999.921,-0.079
634,900.144,1000.219,0.219
635,900.082,999.934,-0.066
636,900.092,999.988,-0.012
637,900.173,999.936,-0.064
638,900.139,1000.081,0.081
639,900.083,1000.004,0.004
640,900.104,999.987,-0.013
641,900.090,999.950,-0.050
642,900.149,1000.078,0.078
643,900.076,1000.015,0.015
644,900.103,999.936,-0.064
645,900.083,999.869,-0.131
646,900.122,1000.202,0.202
647,900.105,999.994,-0.006
648,900.103,999.882,-0.118
649,900.101,999.985,-0.015
650,900.120,1000.082,0.082
651,900.107,1000.019,0.019
652,900.088,999.945,-0.055
653,900.076,999.948,-0.052
654,900.154,1000.084,0.084
655,900.108,1000.089,0.089
656,900.104,999.878,-0.122
657,900.095,999.958,-0.042
658,900.199,1000.098,0.098
659,900.095,999.968,-0.032
660,900.174,1000.014,0.014
661,900.174,999.908,-0.092
662,900.123,1000.160,0.160
663,900.083,999.926,-0.074
664,900.104,999.950,-0.050
665,900.090,999.958,-0.042
666,900.160,1000.141,0.141
667,900.085,999.965,-0.035
668,900.172,999.932,-0.068
669,900.175,999.908,-0.092
670,900.135,1000.177,0.177
671,900.091,1000.062,0.062
672,900.108,999.882,-0.118
673,900.093,999.937,-0.063
674,900.161,1000.103,0.103
675,900.104,1000.054,0.054
676,900.114,999.896,-0.104
677,900.172,999.885,-0.115
678,900.109,1000.261,0.261
679,900.081,999.957,-0.043
680,900.078,999.907,-0.093
681,900.078,999.973,-0.027
682,900.099,1000.074,0.074
683,900.106,1000.118,0.118
684,900.116,999.908,-0.092
685,900.103,999.833,-0.167
686,900.083,1000.195,0.195
687,900.080,999.979,-0.021
688,900.173,999.893,-0.107
689,900.175,999.975,-0.025
690,900.136,1000.138,0.138
691,900.095,1000.010,0.010
692,900.102,999.906,-0.094
693,900.092,999.871,-0.129
694,900.156,1000.204,0.204
695,900.167,999.970,-0.030
696,900.077,999.866,-0.134
697,900.177,1000.001,0.001
698,900.135,1000.122,0.122
699,900.177,1000.034,0.034
700,900.105,999.969,-0.031
701,900.089,999.834,-0.166
702,900.147,1000.159,0.159
703,900.082,1000.000,0.000
704,900.099,999.921,-0.079
705,900.081,1000.012,0.012
706,900.147,1000.101,0.101
707,900.095,999.976,-0.024
708,900.104,999.970,-0.030
709,900.109,999.852,-0.148
710,900.170,1000.243,0.243
711,900.113,999.908,-0.092
712,900.092,999.948,-0.052
713,900.177,999.934,-0.066
714,900.116,1000.181,0.181
715,900.085,1000.001,0.001
716,900.080,999.901,-0.099
717,900.075,999.877,-0.123
718,900.140,1000.219,0.219
719,900.085,999.996,-0.004
720,900.079,999.874,-0.126
721,900.082,999.978,-0.022
722,900.139,1000.130,0.130
723,900.177,1000.023,0.023
724,900.097,999.915,-0.085
725,900.092,999.912,-0.088
726,900.170,1000.220,0.220
727,900.105,999.959,-0.041
728,900.091,999.841,-0.159
729,900.082,999.979,-0.021
730,900.084,1000.174,0.174
731,900.087,999.980,-0.020
732,900.076,999.909,-0.091
733,900.109,999.937,-0.063
734,900.174,1000.147,0.147
735,900.101,1000.039,0.039
736,900.106,999.914,-0.086
737,900.080,999.901,-0.099
738,900.142,1000.185,0.185
739,900.084,999.974,-0.026
740,900.116,999.918,-0.082
741,900.178,999.938,-0.062
742,900.117,1000.144,0.144
743,900.108,1000.036,0.036
744,900.115,999.852,-0.148
745,900.164,999.971,-0.029
746,900.135,1000.130,0.130
747,900.178,1000.024,0.024
748,900.114,999.955,-0.045
749,900.093,999.880,-0.120
750,900.154,1000.156,0.156
751,900.097,1000.013,0.013
752,900.117,999.911,-0.089
753,900.080,999.957,-0.043
754,900.109,1000.130,0.130
755,900.083,999.950,-0.050
756,900.090,999.962,-0.038
757,900.175,999.931,-0.069
758,900.103,1000.107,0.107
759,900.106,1000.076,0.076
760,900.104,999.895,-0.105
761,900.176,999.909,-0.091
762,900.174,1000.157,0.157
763,900.084,999.994,-0.006
764,900.097,999.909,-0.091
765,900.081,999.916,-0.084
766,900.149,1000.208,0.208
767,900.115,999.974,-0.026
768,900.110,999.966,-0.034
769,900.083,999.936,-0.064
770,900.096,1000.117,0.117
771,900.089,999.941,-0.059
772,900.087,999.911,-0.089
773,900.107,999.975,-0.025
774,900.146,1000.178,0.178
775,900.105,999.949,-0.051
776,900.134,999.915,-0.085
777,900.104,999.986,-0.014
778,900.131,1000.118,0.118
779,900.081,999.983,-0.017
780,900.078,999.998,-0.002
781,900.081,999.836,-0.164
782,900.126,1000.215,0.215
783,900.107,999.920,-0.080
784,900.129,999.917,-0.083
785,900.095,1000.002,0.002
786,900.123,1000.185,0.185
787,900.094,999.900,-0.100
788,900.161,999.972,-0.028
789,900.174,999.954,-0.046
790,900.149,1000.116,0.116
791,900.094,1000.052,0.052
792,900.115,999.922,-0.078
793,900.096,999.856,-0.144
794,900.078,1000.195,0.195
795,900.092,999.934,-0.066
796,900.088,999.955,-0.045
797,900.166,999.924,-0.076
798,900.160,1000.138,0.138
799,900.080,1000.039,0.039
800,900.118,999.877,-0.123
801,900.084,999.944,-0.056
802,900.074,1000.234,0.234
803,900.084,999.882,-0.118
804,900.079,999.981,-0.019
805,900.176,999.888,-0.112
806,900.175,1000.151,0.151
807,900.080,999.987,-0.013
808,900.115,999.948,-0.052
809,900.094,999.973,-0.027
810,900.152,1000.160,0.160
811,900.085,1000.010,0.010
812,900.082,999.984,-0.016
813,900.081,999.872,-0.128
814,900.132,1000.149,0.149
815,900.102,999.914,-0.086
816,900.101,999.905,-0.095
817,900.082,999.966,-0.034
818,900.172,1000.147,0.147
819,900.079,999.979,-0.021
820,900.087,999.930,-0.070
821,900.170,999.896,-0.104
822,900.109,1000.217,0.217
823,900.089,999.988,-0.012
824,900.118,999.961,-0.039
825,900.079,999.944,-0.056
826,900.110,1000.073,0.073
827,900.108,1000.016,0.016
828,900.106,999.900,-0.100
829,900.078,999.959,-0.041
830,900.138,1000.118,0.118
831,900.081,1000.029,0.029
832,900.096,999.928,-0.072
833,900.081,999.960,-0.040
834,900.150,1000.201,0.201
835,900.110,999.954,-0.046
836,900.112,999.878,-0.122
837,900.099,999.942,-0.058
838,900.076,1000.115,0.115
839,900.094,1000.021,0.021
840,900.086,999.902,-0.098
841,900.166,1000.061,0.061
842,900.161,1000.048,0.048
843,900.107,999.904,-0.096
844,900.092,999.974,-0.026
845,900.178,999.950,-0.050
846,900.116,1000.193,0.193
847,900.084,999.989,-0.011
848,900.080,999.844,-0.156
849,900.082,999.955,-0.045
850,900.156,1000.167,0.167
851,900.120,1000.027,0.027
852,900.080,999.909,-0.091
853,900.174,999.967,-0.033
854,900.136,1000.120,0.120
855,900.082,1000.010,0.010
856,900.079,999.905,-0.095
857,900.079,999.909,-0.091
858,900.131,1000.198,0.198
859,900.090,999.965,-0.035
860,900.100,999.933,-0.067
861,900.094,999.920,-0.080
862,900.173,1000.236,0.236
863,900.094,999.918,-0.082
864,900.088,999.881,-0.119
865,900.176,999.947,-0.053
866,900.139,1000.162,0.162
867,900.084,1000.002,0.002
868,900.078,999.948,-0.052
869,900.174,999.976,-0.024
870,900.143,1000.105,0.105
871,900.118,999.968,-0.032
872,900.110,999.927,-0.073
873,900.077,999.966,-0.034
874,900.155,1000.156,0.156
875,900.084,999.943,-0.057
876,900.106,1000.002,0.002
877,900.100,999.974,-0.026
878,900.126,1000.148,0.148
879,900.105,999.913,-0.087
880,900.105,999.861,-0.139
881,900.176,999.922,-0.078
882,900.083,1000.205,0.205
883,900.093,999.968,-0.032
884,900.079,999.950,-0.050
885,900.094,1000.017,0.017
886,900.140,1000.101,0.101
887,900.093,999.923,-0.077
888,900.105,999.922,-0.078
889,900.099,999.929,-0.071
890,900.166,1000.183,0.183
891,900.084,1000.014,0.014
892,900.081,999.931,-0.069
893,900.081,999.896,-0.104
894,900.138,1000.233,0.233
895,900.094,999.895,-0.105
896,900.104,999.914,-0.086
897,900.093,999.956,-0.044
898,900.095,1000.190,0.190
899,900.090,1000.021,0.021
900,900.089,999.934,-0.066
901,900.166,999.881,-0.119
902,900.161,1000.195,0.195
903,900.177,999.963,-0.037
904,900.097,999.870,-0.130
905,900.084,999.916,-0.084
906,900.149,1000.235,0.235
907,900.082,999.960,-0.040
908,900.174,999.940,-0.060
909,900.176,999.896,-0.104
910,900.155,1000.237,0.237
911,900.096,999.954,-0.046
912,900.086,999.832,-0.168
913,900.094,999.966,-0.034
914,900.171,1000.200,0.200
915,900.099,999.988,-0.012
916,900.080,999.949,-0.051
917,900.179,999.879,-0.121
918,900.124,1000.244,0.244
919,900.105,999.920,-0.080
920,900.091,999.910,-0.090
921,900.093,1000.010,0.010
922,900.159,1000.106,0.106
923,900.118,999.951,-0.049
924,900.124,999.983,-0.017
925,900.169,999.961,-0.039
926,900.164,1000.104,0.104
927,900.096,999.978,-0.022
