Sample,Job_Load_us,Cycle_Period_us,Wakeup_Jitter_us
0,900.203,1000.000,0.000
1,900.114,997.197,-2.803
2,900.143,999.930,-0.070
3,900.119,1000.080,0.080
4,900.155,1000.109,0.109
5,900.091,1001.526,1.526
6,900.190,999.090,-0.910
7,900.161,999.608,-0.392
8,900.088,1000.003,0.003
9,900.171,1000.797,0.797
10,900.174,1003.576,3.576
11,900.145,1001.599,1.599
12,900.114,993.773,-6.227
13,900.149,1000.367,0.367
14,900.175,999.769,-0.231
15,900.120,1000.033,0.033
16,900.116,999.700,-0.300
17,900.093,999.974,-0.026
18,900.149,1000.052,0.052
19,900.114,1000.201,0.201
20,900.170,999.668,-0.332
21,900.163,999.970,-0.030
22,900.130,1000.165,0.165
23,900.094,1000.183,0.183
24,900.078,999.788,-0.212
25,900.091,999.955,-0.045
26,900.162,1000.129,0.129
27,900.176,1000.017,0.017
28,900.080,999.904,-0.096
29,900.176,999.808,-0.192
30,900.072,1000.202,0.202
31,900.108,1000.172,0.172
32,900.077,999.861,-0.139
33,900.177,999.845,-0.155
34,900.131,1000.060,0.060
35,900.092,1000.110,0.110
36,900.101,1000.000,0.000
37,900.103,1000.359,0.359
38,900.162,999.666,-0.334
39,900.094,999.931,-0.069
40,900.080,999.913,-0.087
41,900.082,999.988,-0.012
42,900.088,1000.133,0.133
43,900.073,999.974,-0.026
44,900.115,999.899,-0.101
45,900.170,999.903,-0.097
46,900.147,1000.174,0.174
47,900.115,999.978,-0.022
48,900.135,999.908,-0.092
49,900.174,1000.024,0.024
50,900.136,1000.084,0.084
51,900.093,999.994,-0.006
52,900.079,999.904,-0.096
53,900.094,999.911,-0.089
54,900.176,1000.215,0.215
55,900.101,999.988,-0.012
56,900.118,999.925,-0.075
57,900.077,1000.043,0.043
58,900.182,1000.097,0.097
59,900.096,999.867,-0.133
60,900.174,1000.069,0.069
61,900.177,999.813,-0.187
62,900.136,1000.200,0.200
63,900.120,999.943,-0.057
64,900.116,999.932,-0.068
65,900.093,999.982,-0.018
66,900.118,1000.133,0.133
67,900.075,999.959,-0.041
68,900.108,999.986,-0.014
69,900.175,999.874,-0.126
70,900.142,1000.182,0.182
71,900.164,1000.038,0.038
72,900.128,1003.422,3.422
73,900.169,1000.729,0.729
74,900.073,996.075,-3.925
75,900.098,999.628,-0.372
76,900.090,1000.044,0.044
77,900.083,999.866,-0.134
78,900.084,1000.211,0.211
79,900.180,1000.029,0.029
80,900.080,1000.013,0.013
81,900.105,999.835,-0.165
82,900.193,1000.086,0.086
83,900.096,1000.030,0.030
84,900.077,999.909,-0.091
85,900.080,999.931,-0.069
86,900.137,1000.099,0.099
87,900.112,1000.067,0.067
88,900.105,999.930,-0.070
89,900.104,999.945,-0.055
90,900.092,1000.106,0.106
91,900.095,999.989,-0.011
92,900.172,999.913,-0.087
93,900.173,999.963,-0.037
94,900.119,1000.112,0.112
95,900.110,1000.066,0.066
96,900.104,999.903,-0.097
